ratio,mode,baseline_label,config,prompt_len,new_tokens,run,prefill_time_s,decode_time_s,prefill_tok_s,decode_tok_s,decode_ms_per_token,total_time_s,lowrank_cache,flashsvd_dense_cache,baseline_dense_kvcache
0.5,static,StaticCache,short,512,32,1,0.046496415976434946,0.998737595975399,11011.60141589169,32.04044799049322,31.21054987423122,1.045234011951834,False,False,False
0.5,static,StaticCache,short,512,32,2,0.04648432298563421,0.9954186109825969,11014.46610630925,32.14727919182884,31.106831593206152,1.041902933968231,False,False,False
0.5,static,StaticCache,short,512,32,3,0.04651512997224927,0.9868541890755296,11007.171221610195,32.426269609269355,30.8391934086103,1.0333693190477788,False,False,False
0.5,static,StaticCache,short,512,32,4,0.046539905946701765,0.9825284040998667,11001.31144627474,32.56903298313952,30.704012628120836,1.0290683100465685,False,False,False
0.5,static,StaticCache,short,512,32,5,0.04649596521630883,0.9806152880191803,11011.708169043706,32.63257302936735,30.644227750599384,1.0271112532354891,False,False,False
0.5,static,StaticCache,long,2048,128,1,0.17694830801337957,3.917171941837296,11574.001599637477,32.67663556784371,30.602905795603874,4.0941202498506755,False,False,False
0.5,static,StaticCache,long,2048,128,2,0.17691056802868843,3.9202035451307893,11576.470658710956,32.65136580956016,30.62659019633429,4.097114113159478,False,False,False
0.5,static,StaticCache,long,2048,128,3,0.1769614419899881,3.9207595728803426,11573.142583884852,32.64673531255736,30.630934163127677,4.097721014870331,False,False,False
0.5,static,StaticCache,long,2048,128,4,0.17695940798148513,3.92429181211628,11573.275608009932,32.61735011774584,30.65852978215844,4.101251220097765,False,False,False
0.5,static,StaticCache,long,2048,128,5,0.1769572540652007,3.911946152104065,11573.416477435874,32.720286789007666,30.562079313313006,4.0889034061692655,False,False,False
0.5,densekv,DenseKVCacheBaseline,short,512,32,1,0.04523189808242023,0.8609254080802202,11319.44538491506,37.16930607421249,26.903919002506882,0.9061573061626405,False,False,True
0.5,densekv,DenseKVCacheBaseline,short,512,32,2,0.04509995388798416,0.8649080079048872,11352.561496441143,36.99815437888627,27.028375247027725,0.9100079617928714,False,False,True
0.5,densekv,DenseKVCacheBaseline,short,512,32,3,0.045108711114153266,0.8622404281049967,11350.357555203022,37.11261842631125,26.945013378281146,0.90734913921915,False,False,True
0.5,densekv,DenseKVCacheBaseline,short,512,32,4,0.04511079494841397,0.8546008958946913,11349.833240258631,37.444379187666115,26.706277996709105,0.8997116908431053,False,False,True
0.5,densekv,DenseKVCacheBaseline,short,512,32,5,0.04510790901258588,0.8454114811029285,11350.559385431572,37.85139037649763,26.419108784466516,0.8905193901155144,False,False,True
0.5,densekv,DenseKVCacheBaseline,long,2048,128,1,0.1563391729723662,3.3713693271856755,13099.723895571553,37.966768863870165,26.33882286863809,3.5277085001580417,False,False,True
0.5,densekv,DenseKVCacheBaseline,long,2048,128,2,0.15617156284861267,3.352483536815271,13113.783089852668,38.18064983597057,26.191277631369303,3.5086550996638834,False,False,True
0.5,densekv,DenseKVCacheBaseline,long,2048,128,3,0.15639715013094246,3.342222049133852,13094.867766358439,38.2978743238115,26.11110975885822,3.4986191992647946,False,False,True
0.5,densekv,DenseKVCacheBaseline,long,2048,128,4,0.15637360699474812,3.3264449760317802,13096.83928994989,38.47951820104813,25.987851375248283,3.4828185830265284,False,False,True
0.5,densekv,DenseKVCacheBaseline,long,2048,128,5,0.15637300489470363,3.3556635449640453,13096.889718139362,38.14446778852243,26.216121445031604,3.512036549858749,False,False,True
0.5,flashsvd,FlashSVD-v1.5,short,512,32,1,0.047091885935515165,0.39094425621442497,10872.361338450162,81.85310179477007,12.21700800670078,0.43803614214994013,False,True,False
0.5,flashsvd,FlashSVD-v1.5,short,512,32,2,0.04476905311457813,0.3862999009434134,11436.471499400055,82.83719442290895,12.071871904481668,0.4310689540579915,False,True,False
0.5,flashsvd,FlashSVD-v1.5,short,512,32,3,0.04514407506212592,0.37798734614625573,11341.466167939003,84.65891868141573,11.812104567070492,0.42313142120838165,False,True,False
0.5,flashsvd,FlashSVD-v1.5,short,512,32,4,0.04479989013634622,0.39088707114569843,11428.599455082449,81.86507654552838,12.215220973303076,0.43568696128204465,False,True,False
0.5,flashsvd,FlashSVD-v1.5,short,512,32,5,0.04468226293101907,0.38922810298390687,11458.685536818733,82.21400190449013,12.16337821824709,0.43391036591492593,False,True,False
0.5,flashsvd,FlashSVD-v1.5,long,2048,128,1,0.15349195012822747,1.564816755009815,13342.719265010946,81.79871514680781,12.22513089851418,1.7183087051380426,False,True,False
